4x,bicubic,nbsrf,nbsrf(retreinado),realesrgan,realesrgan(retreinado),realsr,srcnn,waifu2x
pool5nC.png,"0,3928","0,3778","0,3777","0,2444","0,2","0,1973","0,3798","0,2635"
pool5nE.png,"0,4247","0,3714","0,3708","0,2214","0,1623","0,1799","0,361","0,2788"
pool6C.png,"0,3681","0,2978","0,2924","0,2215","0,1966","0,136","0,2769","0,3612"
pool6E.png,"0,4906","0,3992","0,3985","0,2067","0,2575","0,1313","0,4496","0,464"
pool6nC.png,"0,3871","0,3226","0,3207","0,2004","0,2225","0,1254","0,2806","0,3749"
pool6nE.png,"0,5498","0,4511","0,4507","0,1846","0,1811","0,0952","0,3001","0,5126"
pool7C.png,"0,4139","0,3704","0,3777","0,2475","0,2012","0,1773","0,3889","0,2786"
pool7E.png,"0,3692","0,339","0,3479","0,2132","0,157","0,1729","0,3705","0,2535"
pool7nC.png,"0,3191","0,3104","0,3145","0,2084","0,1199","0,1376","0,3093","0,1887"
pool7nE.png,"0,3281","0,3019","0,307","0,1637","0,1244","0,1226","0,2805","0,1986"
tramE.png,"0,2639","0,2501","0,2506","0,1985","0,2129","0,2054","0,2567","0,2487"
tree1C.png,"0,4212","0,3981","0,4061","0,3539","0,2272","0,3125","0,4106","0,3669"
tree1E.png,"0,4563","0,4268","0,4339","0,3445","0,2048","0,3024","0,442","0,3888"
tug2C.png,"0,1973","0,1858","0,1922","0,1718","0,1306","0,1352","0,1882","0,1799"
tug2E.png,"0,2239","0,2102","0,2243","0,1843","0,1315","0,1437","0,2143","0,1898"
tug3C.png,"0,261","0,251","0,265","0,2439","0,1785","0,2039","0,2607","0,2527"
tug3E.png,"0,2858","0,2763","0,303","0,2578","0,1745","0,2098","0,2909","0,2566"
tugE.png,"0,1284","0,1227","0,1235","0,1077","0,0939","0,0871","0,1266","0,1282"
ui1C.png,"0,4633","0,4478","0,4573","0,3363","0,1443","0,3645","0,4637","0,4073"
wandererFE.png,"0,5723","0,3925","0,3964","0,1229","0,2932","0,0752","0,5569","0,3589"
wandererTE.png,"0,6258","0,4826","0,491","0,1871","0,3179","0,1588","0,5483","0,4878"
