4x,bicubic,nbsrf,nbsrf(retreinado),realesrgan,realesrgan(retreinado),realsr,srcnn,waifu2x
pool5nC.png,"37,1522","30,3865","37,5755","35,4956","32,8493","35,8431","37,5937","37,1094"
pool5nE.png,"37,5411","29,343","37,4136","35,414","32,9627","35,6137","37,4983","37,1617"
pool6C.png,"41,7702","29,1274","40,6739","38,9335","36,2875","38,3883","40,6962","41,3515"
pool6E.png,"32,4465","30,1317","32,298","32,3173","32,0191","31,7548","32,3057","32,3977"
pool6nC.png,"44,8407","29,0441","44,1567","39,0387","37,8183","41,0977","43,9797","43,1147"
pool6nE.png,"36,1221","28,4482","36,024","34,6585","33,4645","35,6826","36,2197","35,8571"
pool7C.png,"27,9362","26,2584","27,8765","27,6195","27,801","26,641","27,9365","28,3802"
pool7E.png,"27,534","26,3481","27,4691","27,0312","27,2422","26,0676","27,5553","27,9669"
pool7nC.png,"36,2377","28,6039","36,4842","34,8858","33,0088","34,9728","36,5922","35,6625"
pool7nE.png,"37,0743","28,7587","37,3153","35,7612","33,1032","35,7657","37,3791","36,8341"
tramE.png,"21,7523","21,5181","21,758","20,5953","20,1731","19,8231","21,8189","20,9851"
tree1C.png,"31,0491","29,4854","31,026","29,3944","26,1463","29,2942","31,0448","30,3501"
tree1E.png,"32,5543","29,9467","32,2734","29,3892","27,5402","30,3023","32,3555","31,6907"
tug2C.png,"35,1571","28,1309","35,604","34,1534","32,6577","34,4687","35,5573","35,0727"
tug2E.png,"34,3445","28,4124","34,9819","33,7164","31,8333","33,6335","34,7809","34,4553"
tug3C.png,"29,7542","27,0082","30,2553","29,096","28,7234","29,7894","30,2763","29,9202"
tug3E.png,"29,5408","27,1247","30,1607","28,7844","28,2697","29,2198","30,2609","29,7185"
tugE.png,"28,8286","26,1392","28,498","27,9971","27,8304","27,5162","28,6138","28,6457"
ui1C.png,"28,1614","27,2682","28,189","23,7683","22,0442","25,8363","28,2848","27,7386"
wandererFE.png,"35,0095","29,1625","34,8339","33,4087","32,1408","32,2849","34,9854","34,792"
wandererTE.png,"35,6844","29,3751","35,5207","32,8146","32,0166","32,7788","35,4569","35,756"
